planner,suite,domain,instance,ipc,status,validated,plan_length,makespan,parse_seconds,solve_seconds,total_seconds,peak_memory_mb,reason
PLASPPlanner-seq,classical-domains,agricola-opt18,p01,2018,TIMEOUT,,,,0.45,,1825.187,3896.68,Hit the task time limit.
PLASPPlanner-seq,classical-domains,agricola-opt18,p02,2018,KILLED,,,,,,,,
PLASPPlanner-seq,classical-domains,agricola-opt18,p03,2018,TIMEOUT,,,,0.457,,2033.557,4684.97,Hit the task time limit.
PLASPPlanner-seq,classical-domains,agricola-opt18,p04,2018,TIMEOUT,,,,0.456,,1897.225,4277.57,Hit the task time limit.
PLASPPlanner-seq,classical-domains,agricola-opt18,p05,2018,KILLED,,,,,,,,
PLASPPlanner-seq,classical-domains,agricola-opt18,p06,2018,TIMEOUT,,,,0.47,,1802.623,4042.68,Hit the task time limit.
PLASPPlanner-seq,classical-domains,agricola-opt18,p07,2018,TIMEOUT,,,,0.46,,1997.947,3408.59,Hit the task time limit.
PLASPPlanner-seq,classical-domains,agricola-opt18,p08,2018,KILLED,,,,,,,,
PLASPPlanner-seq,classical-domains,agricola-opt18,p09,2018,KILLED,,,,,,,,
PLASPPlanner-seq,classical-domains,agricola-opt18,p10,2018,KILLED,,,,,,,,
PLASPPlanner-seq,classical-domains,agricola-opt18,p11,2018,KILLED,,,,,,,,
PLASPPlanner-seq,classical-domains,agricola-opt18,p12,2018,KILLED,,,,,,,,
PLASPPlanner-seq,classical-domains,agricola-opt18,p13,2018,KILLED,,,,,,,,
PLASPPlanner-seq,classical-domains,agricola-opt18,p14,2018,KILLED,,,,,,,,
PLASPPlanner-seq,classical-domains,agricola-opt18,p15,2018,TIMEOUT,,,,0.496,,1901.562,3515.56,Hit the task time limit.
PLASPPlanner-seq,classical-domains,agricola-opt18,p16,2018,KILLED,,,,,,,,
PLASPPlanner-seq,classical-domains,agricola-opt18,p17,2018,KILLED,,,,,,,,
PLASPPlanner-seq,classical-domains,agricola-opt18,p18,2018,KILLED,,,,,,,,
PLASPPlanner-seq,classical-domains,agricola-opt18,p19,2018,TIMEOUT,,,,0.478,,1823.91,4108.12,Hit the task time limit.
PLASPPlanner-seq,classical-domains,agricola-opt18,p20,2018,KILLED,,,,,,,,
PLASPPlanner-seq,classical-domains,agricola-sat18,p01,2018,TIMEOUT,,,,0.55,,1952.046,7010.12,Hit the task time limit.
PLASPPlanner-seq,classical-domains,agricola-sat18,p02,2018,TIMEOUT,,,,0.569,,1966.413,4821.94,Hit the task time limit.
PLASPPlanner-seq,classical-domains,agricola-sat18,p03,2018,TIMEOUT,,,,0.555,,1972.737,4816.66,Hit the task time limit.
PLASPPlanner-seq,classical-domains,agricola-sat18,p04,2018,TIMEOUT,,,,0.557,,2022.393,5206.45,Hit the task time limit.
PLASPPlanner-seq,classical-domains,agricola-sat18,p05,2018,TIMEOUT,,,,0.555,,1895.384,7222.61,Hit the task time limit.
PLASPPlanner-seq,classical-domains,agricola-sat18,p06,2018,TIMEOUT,,,,0.558,,1935.969,5094.51,Hit the task time limit.
PLASPPlanner-seq,classical-domains,agricola-sat18,p07,2018,KILLED,,,,,,,,
PLASPPlanner-seq,classical-domains,agricola-sat18,p08,2018,TIMEOUT,,,,0.573,,1857.924,5789.43,Hit the task time limit.
